user,friends_over_thirty
1,1
2,0
3,0
4,0
5,0
6,3
7,1
8,0
9,1
10,2
11,0
12,0
13,3
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,0
24,1
25,0
26,0
27,0
28,1
29,0
30,0
31,1
32,1
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,0
46,1
47,1
48,1
49,0
50,2
51,3
52,0
53,0
54,0
55,1
56,0
57,0
58,1
59,4
60,0
61,0
62,0
63,0
64,6
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,4
77,0
78,0
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,3
92,0
93,0
94,1
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,2
107,0
108,0
109,1
110,0
111,1
112,0
113,1
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,3
124,0
125,1
126,1
127,0
128,0
129,0
130,0
131,0
132,0
133,2
134,0
135,9
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,1
146,0
147,3
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,1
157,0
158,0
159,0
160,0
161,4
162,1
163,0
164,0
165,0
166,3
167,1
168,3
169,0
170,0
171,0
172,0
173,2
174,2
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,379
190,0
191,0
192,0
193,0
194,0
195,1
196,0
197,1
198,2
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,5
225,2
226,1
227,0
228,0
229,1
230,6
231,0
232,0
233,0
234,0
235,3
236,0
237,1
238,0
239,1
240,0
241,1
242,2
243,1
244,0
245,0
246,0
247,0
248,3
249,1
250,1
251,1
252,4
253,0
254,0
255,0
256,0
257,4
258,3
259,0
260,0
261,0
262,0
263,0
264,0
265,1
266,0
267,1
268,0
269,0
270,2
271,1
272,0
273,0
274,0
275,0
276,1
277,0
278,2
279,0
280,0
281,0
282,0
283,3
284,0
285,0
286,0
287,0
288,6
289,2
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,1
305,1
306,0
307,0
308,3
309,1
310,0
311,0
312,0
313,0
314,0
315,3
316,0
317,3
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,3
326,0
327,0
328,0
329,0
330,1
331,2
332,2
333,0
334,0
335,0
336,0
337,1
338,0
339,3
340,0
341,1
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,1
350,0
351,1
352,1
353,0
354,2
355,0
356,2
357,3
358,3
359,1
360,0
361,0
362,4
363,0
364,0
365,3
366,1
367,0
368,0
369,1
370,0
371,0
372,3
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,2
381,0
382,4
383,2
384,1
385,0
386,1
387,0
388,0
389,0
390,2
391,1
392,1
393,4
394,5
395,4
396,4
397,1
398,0
399,2
400,4
401,2
402,1
403,0
404,0
405,2
406,2
407,5
408,1
409,2
410,0
411,3
412,1
413,0
414,3
415,0
416,0
417,0
418,3
419,1
420,1
421,2
422,0
423,0
424,3
425,0
426,0
427,0
428,1
429,0
430,0
431,2
432,0
433,1
434,0
435,0
436,3
437,0
438,2
439,0
440,2
441,1
442,0
443,0
444,2
445,1
446,0
447,0
448,0
449,0
450,3
451,2
452,0
453,3
454,1
455,0
456,0
457,0
458,3
459,1
460,0
461,0
462,0
463,0
464,0
465,1
466,1
467,0
468,0
469,5
470,0
471,0
472,2
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,2
481,0
482,0
483,0
484,1
485,1
486,0
487,2
488,0
489,0
490,2
491,0
492,0
493,4
494,0
495,1
496,0
497,0
498,0
499,0
500,1
501,0
502,0
503,1
504,1
505,0
506,0
507,1
508,1
509,0
510,0
511,2
512,0
513,2
514,1
515,0
516,0
517,0
518,0
519,1
520,0
521,0
522,1
523,0
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,0
532,0
533,0
534,2
535,0
536,0
537,2
538,4
539,0
540,0
541,1
542,0
543,0
544,1
545,3
546,1
547,0
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,2
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,1
569,1
570,1
571,0
572,0
573,0
574,3
575,1
576,1
577,2
578,0
579,1
580,4
581,1
582,0
583,0
584,1
585,10
586,1
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,1
595,0
596,0
597,0
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,0
606,0
607,1
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,2
618,0
619,3
620,1
621,1
622,0
623,0
624,0
625,0
626,1
627,0
628,2
629,0
630,1
631,0
632,0
633,1
634,11
635,0
636,0
637,0
638,0
639,0
640,2
641,0
642,0
643,1
644,1
645,0
646,0
647,0
648,0
649,0
650,1
651,0
652,0
653,0
654,4
655,0
656,0
657,2
658,1
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,1
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,2
684,0
685,0
686,0
687,1
688,0
689,0
690,2
691,0
692,1
693,3
694,0
695,2
696,1
697,4
698,4
699,1
700,0
701,0
702,0
703,0
704,0
705,2
706,3
707,0
708,1
709,1
710,2
711,1
712,0
713,0
714,3
715,0
716,0
717,0
718,3
719,0
720,1
721,0
722,0
723,1
724,0
725,3
726,0
727,1
728,2
729,5
730,1
731,0
732,1
733,0
734,0
735,1
736,0
737,4
738,1
739,0
740,0
741,1
742,0
743,0
744,1
745,1
746,6
747,0
748,2
749,0
750,0
751,0
752,1
753,0
754,0
755,1
756,3
757,1
758,0
759,0
760,2
761,0
762,0
763,1
764,0
765,0
766,0
767,0
768,0
769,1
770,1
771,0
772,0
773,1
774,0
775,11
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,1
784,0
785,0
786,3
787,1
788,1
789,0
790,1
791,0
792,1
793,2
794,1
795,0
796,2
797,3
798,2
799,1
800,7
801,0
802,0
803,1
804,7
805,0
806,1
807,0
808,0
809,2
810,0
811,0
812,0
813,0
814,4
815,2
816,0
817,0
818,0
819,0
820,4
821,0
822,0
823,1
824,0
825,0
826,2
827,0
828,0
829,0
830,2
831,0
832,2
833,0
834,0
835,1
836,0
837,1
838,2
839,1
840,2
841,0
842,2
